,userId,contentId,eventId,deck,section
0,user-000000,1.4782895,0,Google services on smartphones store location data even if you use privacy settings to prevent it,technology
1,user-000000,1.4782714,1,Canadian youth given chance to shine with many big names absent,trackandfield
2,user-000000,1.4782959,2,Rudy Giuliani says Manigault Newman may have broken law by secretly taping conversations,world
3,user-000001,1.4783578000000002,0,Lisa MacLeod says she's disappointed federal government's latest move is to shuffle task force leadership,politics
4,user-000001,1.4783578000000002,1,Lisa MacLeod says she's disappointed federal government's latest move is to shuffle task force leadership,politics
5,user-000001,1.4783578000000002,2,Lisa MacLeod says she's disappointed federal government's latest move is to shuffle task force leadership,politics
6,user-000002,1.4779746999999999,0,Experts say proposed U.S. regulations could violate the Canada-U.S. tax treaty,politics
7,user-000003,1.4782959,0,Rudy Giuliani says Manigault Newman may have broken law by secretly taping conversations,world
8,user-000003,1.4783329,1,"'1867 was a different time,' PC MPP says during question period",canada
9,user-000004,1.4597111999999999,0,A web developer's deep dive into his own data yields a near-complete picture of his life,
10,user-000004,1.4782608,1,Dio Gama advised not to leave country with family's case still being reviewed,
11,user-000004,1.4783857,2,Pilot died in crash hours after being arrested for assaulting spouse,world
12,user-000004,1.4783768,3,"We pay tribute to the Queen of Soul's unforgettable song, which became an anthem for changing times",
13,user-000004,1.4783936000000002,4,Retroactive repatriation tax hitting thousands of Canadian residents,politics
14,user-000004,1.4784069,5,Public Safety officials will meet Wednesday with members of No-Fly List Kids,canada
15,user-000004,1.475322,6,,
16,user-000005,1.4780544,0,"Despite booming jobs and GDP, Canada can't escape the effects of a tumultuous world",business
17,user-000005,1.4783329,1,"'1867 was a different time,' PC MPP says during question period",canada
18,user-000006,1.4782989,0,Eastern Canadian premiers and New England governors holding annual meeting in Vermont,politics
19,user-000007,1.4783325,0,"'Trudeau's ... cult of diversity will divide us into little tribes,' Quebec MP says",politics
20,user-000007,1.4783329,1,"'1867 was a different time,' PC MPP says during question period",canada
21,user-000007,1.4783591999999999,2,Province holding off opening 3 overdose-prevention sites intended to help fight the opioid crisis,canada
22,user-000008,1.4777326000000002,0,"The project meant Harley Worden, 22, was able to sign her first lease and live on her own",canada
